Document ID,Document Title,Family ID,Family Title,Family Summary,Collection Title(s),Collection Description(s),Document Variant,Document Content URL,Language,Source,Geography ISOs,Geographies,First event in timeline,Last event in timeline,Full timeline of events (types),Full timeline of events (dates),Date Added to System,Last Modified on System,Internal Document ID,Internal Family ID,Internal Corpus ID,Internal Collection ID(s),Framework,Topic/Response,Hazard,Sector,Keyword,Instrument,Author,Author Type,Document URL,Family URL,Document Role,Document Type,Category
act-of-20-july-2017-water-law-consolidated-text_ff54,Act of 20 July 2017 - Water Law (Consolidated text),act-of-20-july-2017-water-law_eed3,Act of 20 July 2017 - Water Law,"<p>The Polish Water Law establishes an integrated framework for managing water resources with strong relevance for climate adaptation, energy security, and disaster risk management. It explicitly addresses climate-related pressures by prioritising protection against floods and droughts, introducing risk-based planning, flood hazard and risk mapping, and the use of retention, polders, and coastal protection infrastructure to reduce climate-driven extremes. The Act supports the energy sector, particularly hydropower and water-dependent infrastructure, by regulating water use, permitting, and the operation of water and flood-control structures while balancing these activities with ecological objectives. Through river-basin planning, hydrological and meteorological monitoring, and coordination with EU climate and environmental directives, the law strengthens Poland’s resilience to climate change, reduces vulnerability to water-related disasters, and ensures that energy development and water management contribute to long-term environmental and societal safety. The last amendment provided by the Act (Dz.U. 2025 poz. 1535) modernises and expands Poland’s legal framework for offshore wind and other renewables.</p>",,,Original Language,https://cpr-prod-cclw-document-admin-store.s3.eu-west-1.amazonaws.com/Poland/Poland/Water+act+-+consolidated.pdf,Polish,CCLW,POL,Poland,2017-07-20 00:00:00+00:00,2025-10-09,Amended;Passed/Approved;Passed/Approved,2025-10-09;2017-07-20;2017-08-23,2026-01-30,2026-02-06,CCLW.document.i00007355.n0000,CCLW.family.i00007353.n0000,CCLW.corpus.i00000001.n0000,,,Mitigation,,Water;Energy,Water;Wind;Renewables,,,,https://climate-laws.org/documents/act-of-20-july-2017-water-law-consolidated-text_ff54,https://climate-laws.org/document/act-of-20-july-2017-water-law_eed3,Supporting Documentation,Act,Legislative
biofuels-act-no-1676-of-30-12-2024-latest-amendment_12c4,Biofuels Act - No. 1676 of 30/12/2024 (latest amendment),act-on-sustainable-biofuels-and-on-the-reduction-of-greenhouse-gases-biofuels-act_c41f,Act on Sustainable Biofuels and on the Reduction of Greenhouse Gases (Biofuels Act) ,"<p>The purpose of the Act is to promote the use of sustainable biofuels for land transport and to reduce cradle-to-grave greenhouse gas emissions from transport in order to contribute to the fulfillment of Denmark's international climate commitments. The Act sets mandatory levels of biofuels use for companies and is regularly amended to update these levels.The <a href=""https://www.folketingstidende.dk/samling/20161/lovforslag/L67/20161_L67_som_fremsat.pdf"" target=""_self"">2016 amendment</a> introduces requirements for the use of 0.9 per cent of advanced biofuels in land transport fuels, amends the definition of which companies are covered by the law, and authorises to establish rules for compliance with MRV regulation to promote CO2 emissions reduction from maritime transport and rules on access to ships. 2019 and 2020 updates are to the list of advanced biofuels; and duty of companies to ensure biofuels make up at least 7.6% of company’s total annual sale of fuels (following European counting rules).</p>
<p>The latest amendment of 30 December 2024 expands coverage of the Act to the aviation sector and stipulates that the Minister may lay down rules on penalties for fines for violations of the ReFuelEU Aviation Regulation. The Minister for Climate, Energy and Utilities may also lay down rules on payments, including fees or other payments, to cover the authorities' costs of administration and supervision of compliance with the ReFuelEU Aviation Regulation and the FuelEU Maritime Regulation and of rules issued pursuant to this Act, the ReFuelEU Aviation Regulation and the FuelEU Maritime Regulation.</p>",,,Original Language,https://www.retsinformation.dk/eli/lta/2024/1676,Danish,CCLW,DNK,Denmark,2009-06-12 00:00:00+00:00,2024-12-30,Passed/Approved;Passed/Approved,2009-06-12;2024-12-30,2026-02-04,2026-02-05,CCLW.document.i00007522.n0000,CCLW.family.9404.0,CCLW.corpus.i00000001.n0000,,,Mitigation,,Energy;Transport,Biofuels,"Standards, obligations and norms|Regulation",,,https://climate-laws.org/documents/biofuels-act-no-1676-of-30-12-2024-latest-amendment_12c4,https://climate-laws.org/document/act-on-sustainable-biofuels-and-on-the-reduction-of-greenhouse-gases-biofuels-act_c41f,Amendment,Act,Legislative
biofuels-act-no-2167-of-29-11-2021-latest-consolidated-version_78ff,Biofuels Act - No. 2167 of 29/11/2021 (latest consolidated version),act-on-sustainable-biofuels-and-on-the-reduction-of-greenhouse-gases-biofuels-act_c41f,Act on Sustainable Biofuels and on the Reduction of Greenhouse Gases (Biofuels Act) ,"<p>The purpose of the Act is to promote the use of sustainable biofuels for land transport and to reduce cradle-to-grave greenhouse gas emissions from transport in order to contribute to the fulfillment of Denmark's international climate commitments. The Act sets mandatory levels of biofuels use for companies and is regularly amended to update these levels.The <a href=""https://www.folketingstidende.dk/samling/20161/lovforslag/L67/20161_L67_som_fremsat.pdf"" target=""_self"">2016 amendment</a> introduces requirements for the use of 0.9 per cent of advanced biofuels in land transport fuels, amends the definition of which companies are covered by the law, and authorises to establish rules for compliance with MRV regulation to promote CO2 emissions reduction from maritime transport and rules on access to ships. 2019 and 2020 updates are to the list of advanced biofuels; and duty of companies to ensure biofuels make up at least 7.6% of company’s total annual sale of fuels (following European counting rules).</p>
<p>The latest amendment of 30 December 2024 expands coverage of the Act to the aviation sector and stipulates that the Minister may lay down rules on penalties for fines for violations of the ReFuelEU Aviation Regulation. The Minister for Climate, Energy and Utilities may also lay down rules on payments, including fees or other payments, to cover the authorities' costs of administration and supervision of compliance with the ReFuelEU Aviation Regulation and the FuelEU Maritime Regulation and of rules issued pursuant to this Act, the ReFuelEU Aviation Regulation and the FuelEU Maritime Regulation.</p>",,,Original Language,https://www.retsinformation.dk/eli/lta/2021/2167,Danish;Danish,CCLW,DNK,Denmark,2009-06-12 00:00:00+00:00,2024-12-30,Passed/Approved;Passed/Approved,2009-06-12;2024-12-30,2023-11-30,2026-02-05,CCLW.legislative.9404.rtl_159,CCLW.family.9404.0,CCLW.corpus.i00000001.n0000,,,Mitigation,,Energy;Transport,Biofuels,"Standards, obligations and norms|Regulation",,,https://climate-laws.org/documents/biofuels-act-no-2167-of-29-11-2021-latest-consolidated-version_78ff,https://climate-laws.org/document/act-on-sustainable-biofuels-and-on-the-reduction-of-greenhouse-gases-biofuels-act_c41f,Main,Act,Legislative
law-relating-to-the-coordination-of-the-federal-sustainable-development-policy-f2e6,Law relating to the coordination of the federal sustainable development policy,law-relating-to-the-coordination-of-the-federal-sustainable-development-policy_94fd,Law relating to the coordination of the federal sustainable development policy,<p>The latest version of the Act on Co-ordination of Federal Policy on Sustainable Development calls for the development of a long-term vision for Sustainable Development that would include goals for 2050 and be based on interdepartmental and vertical co-operation among between the federal level and federated entities through the specifically created Interdepartmental Commission on Sustainable Development.</p>,,,,https://cpr-prod-cclw-document-admin-store.s3.eu-west-1.amazonaws.com/Law+relating+to+the+coordination+of+the+federal+sustainable+development+policy_redacted.pdf,Dutch,CCLW,BEL,Belgium,1997-05-05 00:00:00+00:00,1997-05-05,Passed/Approved,1997-05-05,2023-11-30,2026-02-03,CCLW.legislative.1080.rtl_59,CCLW.family.1080.0,CCLW.corpus.i00000001.n0000,,,Mitigation,,Residential and Commercial;Transport;Energy,Transport;Energy Supply;Energy Demand,"Institutional mandates|Governance;Processes, plans and strategies|Governance;Subnational and citizen participation|Governance",,,https://climate-laws.org/documents/law-relating-to-the-coordination-of-the-federal-sustainable-development-policy-f2e6,https://climate-laws.org/document/law-relating-to-the-coordination-of-the-federal-sustainable-development-policy_94fd,Main,Law,Legislative
law-amending-the-law-of-29-april-1999-on-the-organization-of-the-electricity-market_e2a3,Law amending the law of 29 April 1999 on the organization of the electricity market,act-on-organization-of-the-electricity-market-amended-by-law-of-12-may-19_c35d,"Act on Organization of the Electricity Market, amended by law of 12-may-19","<p>The Act regulates organisation of the electricity market and contributes to meeting international commitments related to climate change. This is to be done in particular through promotion of renewable electricity generation, among others by providing federal feed-in tariffs, and organising a federal green certificate scheme. It defines the extensive competences of CREG (the Commission for Regulation of Electricity and Gas) in fixing transport and distribution tariffs, as well as regulating the prices of energy to prevent adverse price increases. The Act further guarantees connection of renewable electricity sources to the grid. It also supports the promotion of renewable energies in planning for electricity sources choice, lays down provisions for feed-in tariffs for renewable electricity production not addressed by specific regional regulation, mandates the federal Minister for Energy to stimulate tenders for renewable electricity generation installations and especially wind power, provides for adoption of specific regulation organizing the green certification scheme. The federal green certificate scheme is further detailed in the Royal order on the creation of a mechanism to support electricity production from renewable energy sources of 2012 (modifying previous regulation from 2002). The Order requires electricity transmission system operators to purchase green or CHP energy certificates at a guaranteed minimum price. Renewable energy facilities (offshore wind farms, PV facilities commissioned before 01/08/2012, hydro or tidal energy facilities and geothermal energy generation facilities) are entitled to receive this support for 10 years after the facility is commissioned. The Act was amended in 2019 by the <a href=""http://www.ejustice.just.fgov.be/cgi/article_body.pl?language=fr&pub_date=2019-05-24&caller=summary&numac=2019030491"" target=""_self"">law on the organisation of the electricity market</a> with a view to introducing a competitive tendering procedure for the construction and operation of production facilities in the marine areas under the jurisdiction of Belgium and ratifying the Royal Decree of 11 February 2019, amending the Royal Decree of 16 July 2002 on the establishment of mechanisms to promote electricity produced from renewable energy sources.</p>",,,Original Language,https://cpr-prod-cclw-document-admin-store.s3.eu-west-1.amazonaws.com/Law+amending+the+law+of+29+April+1999+on+the+organization+of+the+electricity+market_redacted.pdf,Catalan;French,CCLW,BEL,Belgium,1999-04-29 00:00:00+00:00,2019-05-12,Passed/Approved;Amended,1999-04-29;2019-05-12,2023-11-30,2026-02-03,CCLW.legislative.1079.3061,CCLW.family.1079.0,CCLW.corpus.i00000001.n0000,,,Mitigation,,Energy;Transport,Institutions / Administrative Arrangements;Energy Supply,"Tax incentives|Economic;Processes, plans and strategies|Governance",,,https://climate-laws.org/documents/law-amending-the-law-of-29-april-1999-on-the-organization-of-the-electricity-market_e2a3,https://climate-laws.org/document/act-on-organization-of-the-electricity-market-amended-by-law-of-12-may-19_c35d,Amendment,Law,Legislative
act-of-17-december-2020-on-the-promotion-of-electricity-production-in-marine-wind-farms-consolidated-text_1289,Act of 17 December 2020 on the promotion of electricity production in marine wind farms (consolidated text),act-of-17-december-2020-on-the-promotion-of-electricity-production-in-marine-wind-farms-last-amended-by-act-of-9-october-2025-offshore-wind-act_493d,"Act of 17 December 2020 on the promotion of electricity production in marine wind farms, last amended by Act of 9 October 2025 (Offshore Wind Act)","<p>The Act of 17 December 2020 on promoting electricity generation in offshore wind farms aims to boost the production of renewable energy from wind in the Baltic sea, in accordance with EU regulations.The Amendment brought by the Act of 9 October 2025 aims to ""unblock"" the second phase of Polish offshore development. By removing rigid administrative bottlenecks (like the 50m placement rule) and adding the intervention auction fail-safe, the government aimed to ensure that Poland meets its target of 5.9 GW by 2030 and 18 GW by 2040.</p>",,,Original Language,https://isap.sejm.gov.pl/isap.nsf/download.xsp/WDU20210000234/U/D20210234Lj.pdf,Polish,CCLW,POL,Poland,2020-12-17 00:00:00+00:00,2025-10-09,Passed/Approved;Entered Into Force;Amended,2020-12-17;2021-02-18;2025-10-09,2026-01-30,2026-02-02,CCLW.document.i00007307.n0000,CCLW.family.10174.0,CCLW.corpus.i00000001.n0000,,,Mitigation,,Energy,Renewables,"Subsidies|Economic;Processes, plans and strategies|Governance",,,https://climate-laws.org/documents/act-of-17-december-2020-on-the-promotion-of-electricity-production-in-marine-wind-farms-consolidated-text_1289,https://climate-laws.org/document/act-of-17-december-2020-on-the-promotion-of-electricity-production-in-marine-wind-farms-last-amended-by-act-of-9-october-2025-offshore-wind-act_493d,Supporting Documentation,Act,Legislative
act-of-21-november-2024-amending-act-of-11-january-2018-on-electromobility-and-alternative-fuels_6b42,Act of 21 November 2024 amending Act of 11 January 2018 on electromobility and alternative fuels,act-of-11-january-2018-on-electromobility-and-alternative-fuels-last-amended-by-act-of-21-november-2024_6953,"Act of 11 January 2018 on electromobility and alternative fuels, last amended by Act of 21 November 2024","<p>The Act of 11 January 2018 on Electromobility and Alternative Fuels sets out Poland’s legal framework for the development and operation of infrastructure for alternative fuels in transport — including electric charging stations and other low‑emission vehicle fuels — by defining technical requirements, obligations for public authorities to develop this infrastructure, information duties, the conditions for clean transport zones in municipalities, and the national policy framework for alternative fuel infrastructure, in order to implement key EU directives on clean transport and energy efficiency.</p>
<p>The Act of 21 November 2024 (Poz. 1853) amended this law to update and strengthen electromobility provisions, including: raising and clarifying targets for the share of electric vehicles in the fleets of central and local public bodies (e.g., requiring at least 22 % electric vehicles in relevant government and municipal fleets), restructuring or repealing certain older requirements, and introducing new obligations for municipalities to deploy zero‑emission or biomethane‑powered buses in public transport, as well as amendments to the rules for establishing clean transport zones (including automatic creation where air pollution thresholds are exceeded). It also updated annual reporting duties on fleet electrification</p>",,,Original Language,https://isap.sejm.gov.pl/isap.nsf/download.xsp/WDU20240001853/O/D20241853.pdf,Polish,CCLW,POL,Poland,2018-01-11 00:00:00+00:00,2024-11-21,Passed/Approved;Amended;Passed/Approved;Amended,2018-01-11;2021-12-02;2018-02-07;2024-11-21,2026-01-30,2026-02-02,CCLW.document.i00007314.n0000,CCLW.family.9759.0,CCLW.corpus.i00000001.n0000,,,Mitigation,,Energy;Transport,EVs,"Tax incentives|Economic;Capacity building|Governance;Processes, plans and strategies|Governance;Subnational and citizen participation|Governance",,,https://climate-laws.org/documents/act-of-21-november-2024-amending-act-of-11-january-2018-on-electromobility-and-alternative-fuels_6b42,https://climate-laws.org/document/act-of-11-january-2018-on-electromobility-and-alternative-fuels-last-amended-by-act-of-21-november-2024_6953,Amendment,Act,Legislative
amendment-act-of-27-november-2024_ee1f,Amendment Act of 27 November 2024,act-of-20-february-2015-on-renewable-energy-sources-last-amended-by-act-of-9-october-2025-res-act_3f1c," Act of 20 February 2015 on renewable energy sources, last amended by Act of 9 October 2025 (RES Act)","<p>This Act defines the new regime for support to renewable energy sources (including wind energy, energy radiation of the sun, solar, aerothermal, geothermal, hydrothermal energy, hydropower, waves, currents error and tidal energy obtained from biomass, biogas, agricultural biogas and bioliquid - art. 2.22), aiming to stabilise the long-term support system, with the goal to prevent electricity prices form increasing in an uncontrolled manner. The Act also transposes the Directive 2009/28/EC on renewable energy into Polish legislation and aims to contribute to Poland's target of reaching 15% share of renewable energy production by 2020. The Act will provide continuing support to most existing installations (in operation by or before 31 December 2015) through certificates of origin, while future investments will compete for support through an auction system organised by the President of the Energy Regulatory Office (ERO). The auctions, applying to new installations over 10 kW of installed capacity, will be based on a type of contract-for-difference (CfD) granted, with separate auctions for old and new plants and for plants of 1 MW or less, as well as varied reference prices for the eighteen renewable sources reference groups. The chosen renewable plants will have to start generation within 24 months (solar plants), 72 months (wind plants) or 48 months (others), and they will be required to deliver at least 85% of the volume offered in the bid, under threat of penalty. The energy auctioned will be bought by the newly formed state-owned entity Operator Rozlicze? Energii Odnawialnej (for energy produced in installations above 500kW) or by electricity distribution companies (for energy produced in installations up to 500kW). Most existing installations will also be eligible to change to the auction support instrument from the current certificates of origin, except for hydropower plants over 5 MW, non-qualified biomass co-firing installations (art. 44) and biomass installations exceeding 50 MW of electrical power (or 150 MW of CHP power). The existing installations will continue to be eligible for the existing system of support through certificates of origin (introduced through the 1997 Energy Law), but a number of limits will apply:</p>
<ul>
<li>support for max 15 years from the start of renewable energy production in the given installation;</li>
<li>support for hydropower of max 5 MW of capacity;</li>
<li>support for biomass co-firing installations of less than 150 MW capacity capped to equivalent of the average generation over 2011-2013;</li>
<li>large consumers (over 100 GWh of electricity consumed annually) and commodity brokerage houses are required to obtain certificates of origin for 14% and 15% of their annual electricity consumption for 2015 and 2016 respectively or pay the substitution fee. From 2017 the share is min 20%, but can be reduced by the Minister of Economy, if necessary due to specific market conditions. A unit substitution fee is set to a constant 300.03 PLN/MWh (2014 level, approx. 72 €/MWh), which should stabilise the price of certificates, as purchasing and redeeming of certificates of origin will only be allowed if the average market price of certificates remains below 75% of the substitution fee.</li>
</ul>
<p>The Act also introduces a feed-in tariff system for micro installations of up to 10 kW (max 40 kW under special conditions - art. 41.7), while guaranteeing purchase by electricity distribution companies at 100% of market price for the next 15 years, until no later than December 31, 2035 (art. 41.5). The support also covers the so-called ‘prosumers,' who both produce and consume their own electricity. The subsidies amount to PLN 0.75 (EUR 0.18) per kWh to prosumers with a capacity of up to 3 kW (hydropower, wind, solar), and PLN 0.40-0.70 (EUR 0.10-0.17) for those with a capacity between 3 and 10 kW (biogas, hydropower, wind, solar). Moreover, there are no licensing/concession requirements for those micro generators that do not have active business. The Act was amended in June 2018, alongside the 2016 Act on investments in wind power and the 1994 Construction Act, in order to boost offshore wind investment. It was further amended in August 2019 to extend the agreements on grid connection and updates the auction mechanism.The Act was notably amended by bill 1129/2021 to extend the period for auctions of energy sales, set auction volumes, and remove obligations for small producers of renewable energy. The Amendments from November 2024 and October 2025 to the Renewable Energy Sources Act represent a strategic pivot toward ""energy democratization,"" fundamentally increasing the profitability and accessibility of green energy. The November 2024 Act introduced a more favorable ""net-billing"" calculation and cut administrative wait times for solar building permits and grid connections from months to just 30 to 45 days. The October 2025 Act expanded these rights to urban dwellers by allowing energy cooperatives to operate in cities and granting ""tenant prosumers"" the flexibility to install solar panels on carports and garages rather than just roofs. Together, these laws establish renewable energy as an ""overriding public interest"". </p>",,,Original Language,https://isap.sejm.gov.pl/isap.nsf/download.xsp/WDU20240001847/O/D20241847.pdf,Polish,CCLW,POL,Poland,2015-02-20 00:00:00+00:00,2025-10-09,Passed/Approved;Amended;Amended;Amended;Amended,2015-02-20;2019-08-29;2022-09-29;2025-10-09;2024-11-27,2026-01-30,2026-02-02,CCLW.document.i00007326.n0000,CCLW.family.2010.0,CCLW.corpus.i00000001.n0000,,,Mitigation,,Agriculture;Energy;Transport,Institutions / Administrative Arrangements;Energy Supply;Energy Demand,"Provision of climate funds|Direct Investment;Processes, plans and strategies|Governance",,,https://climate-laws.org/documents/amendment-act-of-27-november-2024_ee1f,https://climate-laws.org/document/act-of-20-february-2015-on-renewable-energy-sources-last-amended-by-act-of-9-october-2025-res-act_3f1c,Amendment,Act,Legislative
amending-act-of-21-november-2025_64de,Amending Act of 21 November 2025,act-of-12-of-june-2015-on-on-the-greenhouse-gas-emission-allowance-trading-scheme-last-amended-by-act-of-21-november-2025_cf9b,"Act of 12 of June 2015 on on the greenhouse gas emission allowance trading scheme, last amended by Act of 21 November 2025","<p>The Act of 12 June 2015 on the greenhouse gas emission allowance trading scheme establishes the Polish legal framework for implementing the EU Emissions Trading System (EU ETS). The current text regulates which installations and aviation activities are covered, the rules for allocation, auctioning and trading of emission allowances, monitoring, reporting and verification of emissions, operation of registry accounts, and compliance obligations, including penalties for non-compliance.  The latest amendment of 2025 (n.1863) mainly introduces financial and budgetary adjustments rather than changing the substance of the ETS.</p>",,,Original Language,https://isap.sejm.gov.pl/isap.nsf/download.xsp/WDU20250001863/T/D20251863L.pdf,Polish,CCLW,POL,Poland,2015-06-12 00:00:00+00:00,2025-09-21,Passed/Approved;Passed/Approved;Amended,2015-06-12;2015-08-25;2025-09-21,2026-01-30,2026-02-02,CCLW.document.i00007365.n0000,CCLW.family.i00007360.n0000,CCLW.corpus.i00000001.n0000,,,Mitigation,,Cross Cutting Area;Economy-wide,GHG;Trading Scheme,,,,https://climate-laws.org/documents/amending-act-of-21-november-2025_64de,https://climate-laws.org/document/act-of-12-of-june-2015-on-on-the-greenhouse-gas-emission-allowance-trading-scheme-last-amended-by-act-of-21-november-2025_cf9b,Amendment,Act,Legislative
act-of-11-january-2018-on-electromobility-and-alternative-fuels-consolidated-text_6193,Act of 11 January 2018 on electromobility and alternative fuels (consolidated text),act-of-11-january-2018-on-electromobility-and-alternative-fuels-last-amended-by-act-of-21-november-2024_6953,"Act of 11 January 2018 on electromobility and alternative fuels, last amended by Act of 21 November 2024","<p>The Act of 11 January 2018 on Electromobility and Alternative Fuels sets out Poland’s legal framework for the development and operation of infrastructure for alternative fuels in transport — including electric charging stations and other low‑emission vehicle fuels — by defining technical requirements, obligations for public authorities to develop this infrastructure, information duties, the conditions for clean transport zones in municipalities, and the national policy framework for alternative fuel infrastructure, in order to implement key EU directives on clean transport and energy efficiency.</p>
<p>The Act of 21 November 2024 (Poz. 1853) amended this law to update and strengthen electromobility provisions, including: raising and clarifying targets for the share of electric vehicles in the fleets of central and local public bodies (e.g., requiring at least 22 % electric vehicles in relevant government and municipal fleets), restructuring or repealing certain older requirements, and introducing new obligations for municipalities to deploy zero‑emission or biomethane‑powered buses in public transport, as well as amendments to the rules for establishing clean transport zones (including automatic creation where air pollution thresholds are exceeded). It also updated annual reporting duties on fleet electrification</p>",,,Original Language,https://isap.sejm.gov.pl/isap.nsf/download.xsp/WDU20180000317/U/D20180317Lj.pdf,Polish,CCLW,POL,Poland,2018-01-11 00:00:00+00:00,2024-11-21,Passed/Approved;Amended;Passed/Approved;Amended,2018-01-11;2021-12-02;2018-02-07;2024-11-21,2026-01-30,2026-02-02,CCLW.document.i00007313.n0000,CCLW.family.9759.0,CCLW.corpus.i00000001.n0000,,,Mitigation,,Energy;Transport,EVs,"Tax incentives|Economic;Capacity building|Governance;Processes, plans and strategies|Governance;Subnational and citizen participation|Governance",,,https://climate-laws.org/documents/act-of-11-january-2018-on-electromobility-and-alternative-fuels-consolidated-text_6193,https://climate-laws.org/document/act-of-11-january-2018-on-electromobility-and-alternative-fuels-last-amended-by-act-of-21-november-2024_6953,Supporting Documentation,Act,Legislative
