CNTR_CODE,Country,Health relevance,Health adaptation mandate,Institutional health role
AL,Albania,1213,1512,44
AT,Austria,1463,1717,100
BA,Bosnia and Herzegovina,1180,1468,38
BE,Belgium,1391,1679,150
BG,Bulgaria,1248,1536,74
CH,Switzerland,1260,1468,78
CY,Cyprus,1167,1455,38
CZ,Czechia,1258,1546,87
DE,Germany,1538,1945,38
DK,Denmark,1299,1617,38
EE,Estonia,1188,1476,38
EL,Greece,1198,1455,38
ES,Spain,1307,1644,71
FI,Finland,1186,1493,38
FR,France,1188,1463,38
HR,Croatia,1204,1492,38
HU,Hungary,1182,1455,38
IE,Ireland,1226,1527,38
IS,Iceland,1167,1455,38
IT,Italy,1247,1512,78
LI,Liechtenstein,1249,1627,38
LT,Lithuania,1204,1492,53
LU,Luxembourg,1359,1683,56
LV,Latvia,1188,1476,38
ME,Montenegro,1176,1459,38
MK,North Macedonia,1167,1455,38
MT,Malta,1181,1474,38
NL,Netherlands,1311,1623,60
NO,Norway,1287,1621,52
PL,Poland,1660,1978,42
PT,Portugal,1281,1569,71
RO,Romania,1252,1525,38
RS,Serbia,1172,1455,38
SE,Sweden,1291,1634,49
SI,Slovenia,1200,1493,43
SK,Slovakia,1181,1455,38
TR,Türkiye,1311,1554,67
UK,United Kingdom,1439,1661,85
XK,Kosovo,1179,1467,42
