Country,CNTR_CODE,Health relevance,Health adaptation mandate,Institutional health role
Albania,AL,1213,1512,44
Austria,AT,1463,1717,100
Belgium,BE,1391,1679,150
Bosnia and Herzegovina,BA,1180,1468,38
Bulgaria,BG,1248,1536,74
Croatia,HR,1204,1492,38
Cyprus,CY,1167,1455,38
Czechia,CZ,1258,1546,87
Denmark,DK,1299,1617,38
Estonia,EE,1188,1476,38
Finland,FI,1186,1493,38
France,FR,1188,1463,38
Germany,DE,1538,1945,38
Greece,EL,1198,1455,38
Hungary,HU,1182,1455,38
Iceland,IS,1167,1455,38
Ireland,IE,1226,1527,38
Italy,IT,1247,1512,78
Kosovo,XK,1179,1467,42
Latvia,LV,1188,1476,38
Liechtenstein,LI,1249,1627,38
Lithuania,LT,1204,1492,53
Luxembourg,LU,1359,1683,56
Malta,MT,1181,1474,38
Montenegro,ME,1176,1459,38
Netherlands,NL,1311,1623,60
North Macedonia,MK,1167,1455,38
Norway,NO,1287,1621,52
Poland,PL,1660,1978,42
Portugal,PT,1281,1569,71
Romania,RO,1252,1525,38
Serbia,RS,1172,1455,38
Slovakia,SK,1181,1455,38
Slovenia,SI,1200,1493,43
Spain,ES,1307,1644,71
Sweden,SE,1291,1634,49
Switzerland,CH,1260,1468,78
Türkiye,TR,1311,1554,67
United Kingdom,UK,1439,1661,85
