Doc ID,Country,Year,Response,Health relevance (1/0),Health adaptation mandate (1/0),Institutional health role (1/0),Notes,Matched health keywords,Health keyword categories
electricity-act-1997-857-consolidated-text_e923,Sweden,1998.0,Mitigation,1,0,0,,accident;anger;flu;health;ill;injury;mental;stress,communicable_disease;general_health;injury_trauma;mental_health
offshore-wind-energy-act_8c22,Netherlands,2016.0,Mitigation,1,0,0,,ill;mental,communicable_disease;mental_health
law-no-292-2018-on-assessing-the-impact-of-certain-public-and-private-projects-on-the-environment_5903,Romania,2018.0,Mitigation;Adaptation,1,0,0,,accident;anger;emergency;flood;flu;health;ill;mental,communicable_disease;environmental_health;general_health;injury_trauma;mental_health
scrapping-scheme-programme-for-old-vehicles_c1b9,Türkiye,2019.0,Mitigation,1,1,0,,TB;flu;ill,communicable_disease
preferential-tax-regimes-for-biofuels_4c87,United Kingdom,2002.0,Mitigation,1,0,0,,alcohol;ill,communicable_disease;substance_use
the-landlord-to-tenant-electricity-act-2017_744b,Germany,2017.0,Mitigation,1,0,0,,ill,communicable_disease
financial-services-and-markets-act-2023_8730,United Kingdom,2023.0,Mitigation;Disaster Risk Management;Loss And Damage;Adaptation,1,1,0,,death;distress;ill;illness;injury;mental;stress,communicable_disease;injury_trauma;mental_health;mortality_morbidity
act-no-xxxiv-of-2014-and-associated-feed-in-tariffs-regulations_1a00,Malta,2014.0,Mitigation,1,1,0,,health;healthcare;hospital;ill;medical,communicable_disease;general_health
act-no-xxxvi-of-2020_f2ad,Malta,2015.0,Adaptation;Mitigation,1,0,0,,TB;ill,communicable_disease
the-carbon-accounting-determination-of-excess-uk-assigned-amount-units-regulations-2023_fd20,United Kingdom,2023.0,Mitigation,1,0,0,,ill,communicable_disease
regulation-amending-regulation-eu-no-510_0f72,European Union,2014.0,Mitigation,1,1,0,,flu;ill,communicable_disease
law-on-a-national-certificate-trade-for-fuel-emissions_68c4,Germany,2019.0,Mitigation,1,0,0,,AIDS;flu;ill,communicable_disease
local-tax-and-fees-act_f67b,Bulgaria,1998.0,Mitigation,1,1,0,,TB;accident;alcohol;anger;death;emergency;epidemic;flood;flu;health;ill;illness;medical;mental;mental disorder;mental disorders,communicable_disease;environmental_health;general_health;injury_trauma;mental_health;mortality_morbidity;substance_use
energy-act_960c,Bulgaria,2003.0,Mitigation,1,1,0,,accident;anger;death;emergency;flu;health;ill;mental,communicable_disease;general_health;injury_trauma;mental_health;mortality_morbidity
energy-efficiency-act_5725,Bulgaria,2008.0,Mitigation,1,1,0,,HIV;death;ill;mental,communicable_disease;mental_health;mortality_morbidity
forest-law_4a5f,Bulgaria,2011.0,Adaptation;Mitigation,1,1,0,,disease;flood;ill;mental,communicable_disease;environmental_health;mental_health
national-strategy-for-climate-adaptation_c12a,Sweden,2018.0,Adaptation;Mitigation,1,1,0,,AIDS;CKD;TB;accident;anger;bacteria;death;deaths;disease;diseases;drought;emergency;extreme heat;flood;flu;health;health care;healthcare;heat stress;heat stroke;high temperature;hunger;ill;infection;infections;injuries;injury;medical;mental;mental health;morbidity;mortality;stress;stroke;virus;well-being;wildfire;zoonoses,communicable_disease;environmental_health;general_health;injury_trauma;mental_health;mortality_morbidity;non_communicable_disease;nutrition;pathogens_microbiology;vector_borne_zoonotic
climate-change-mitigation-act_c68c,Bulgaria,2014.0,Adaptation;Mitigation,1,1,1,,air pollution;flu;health;health care;ill;mental,communicable_disease;environmental_health;general_health;mental_health
directive-eu-2018-2001-of-the-european-parliament-and-of-the-council-of-11-december-2018-on-the-promotion-of-the-use-of-energy-from-renewable-sources_2173,European Union,2018.0,Mitigation,1,1,0,,COVID;COVID-19;TB;alcohol;anger;flu;health;ill;mental;pandemic;wildfire,communicable_disease;environmental_health;general_health;mental_health;substance_use
directive-2014-94-eu-on-the-deployment-of-alternative-fuels-infrastructure_9150,European Union,2014.0,Mitigation,1,1,0,,alcohol;anger;ill;mental,communicable_disease;mental_health;substance_use
climate-act_5e64,Sweden,2017.0,Adaptation,1,1,0,,ill,communicable_disease
law-no-98762008-941f,Albania,2008.0,Mitigation,1,0,0,,TB;health;ill;mental,communicable_disease;general_health;mental_health
levelling-up-and-regeneration-bill-introduced-on-may-11-2022-8ea4,United Kingdom,2023.0,Mitigation;Adaptation,1,1,1,,TB;alcohol;death;emergency;flood;flu;health;health service;ill;medical;mental;well-being,communicable_disease;environmental_health;general_health;mental_health;mortality_morbidity;substance_use
law-amending-the-law-of-29-april-1999-on-the-organization-of-the-electricity-market_e2a3,Belgium,1999.0,Mitigation,1,1,0,,AIDS;CHD;CKD;GP;HIV;PTSD;TB;anger;death;disease;diseases;doctor;emergency;flu;grief;health;health care;health service;healthcare;hospital;ill;illness;injury;medical;mental;mental health;nutrition;pandemic;phobia;pregnancy;psychiatric;psychiatric hospital;psychological;psychosocial;sadness;stress;toxins;well-being;wellbeing,communicable_disease;general_health;injury_trauma;maternal_child_health;mental_health;mortality_morbidity;non_communicable_disease;nutrition;pathogens_microbiology
spatial-planning-act_5887,Bulgaria,2001.0,Adaptation;Disaster Risk Management,1,1,0,,HIV;TB;accident;anger;flood;flu;health;health care;healthcare;ill;injury;mental,communicable_disease;environmental_health;general_health;injury_trauma;mental_health
the-cap-towards-2020-meeting-the-food-natural-resources-and-territorial-challenges-of-the-future_d1a5,European Union,2013.0,Adaptation;Mitigation,1,1,0,,drought;emergency;flu;health;ill;mental;nutrition;stress,communicable_disease;environmental_health;general_health;mental_health;nutrition
basic-law-for-the-federal-republic-of-germany_bf78,Germany,2025.0,Mitigation,1,0,0,,anger;death;disease;diseases;emergency;health;hospital;ill;medical;mental,communicable_disease;general_health;mental_health;mortality_morbidity
recommended-resolution-and-report-of-the-budget-committee-8th-committee-on-the-draft-bill-by-the-spd-and-the-cdu-csu-parliamentary-groups-20-15096-draft-law-amending-the-basic-law-articles-109-115-and-143h_50de,Germany,2025.0,Mitigation,1,0,0,,emergency;flu;health;hospital;ill;mental,communicable_disease;general_health;mental_health
climate-adaptation-action-plan-for-sami-industries-and-culture-2023_5a49,Sweden,2023.0,Adaptation,1,1,1,,AIDS;TB;accident;anger;anxiety;depression;disease;diseases;drought;emergency;epidemiology;flood;flu;health;heatwave;high temperature;hunger;ill;infection;loss of life;medical;mental;mental health;plague;psychological;psychological stress;psychosocial;stress;suicide;well-being,communicable_disease;environmental_health;general_health;injury_trauma;mental_health;mortality_morbidity;nutrition;vector_borne_zoonotic
second-national-climate-change-strategy-for-the-period-2018-2030-with-an-outlook-for-the-period-up-to-2050_e026,Hungary,2008.0,Adaptation,1,1,0,,GP;HIV;Lyme disease;TB;accident;air pollution;allergens;allergies;anger;anxiety;asthma;bacteria;campylobacter;campylobacteriosis;cancer;cardiovascular disease;chikungunya;cryptosporidiosis;death;dengue;disease;diseases;doctor;drought;emergency;epidemiology;fever;flood;flu;hay fever;health;health care;heatwave;hepatitis;high temperature;hospital;human life;ill;illness;illnesses;infection;infections;injuries;injury;leishmaniasis;malaria;malnutrition;medical;mental;mental health;nutrition;protozoa;psychological;respiratory;salmonella;salmonellosis;stress;tick-borne encephalitis;viral infection;virus;wheezing;wildfire,communicable_disease;environmental_health;food_waterborne;general_health;injury_trauma;mental_health;mortality_morbidity;non_communicable_disease;nutrition;pathogens_microbiology;vector_borne_zoonotic
water-special-measures-act-2025_d56e,United Kingdom,2025.0,Mitigation,1,1,0,,drought;emergency;flu;health;ill;mental,communicable_disease;environmental_health;general_health;mental_health
malta-european-union-greenhouse-gas-emissions-trading-scheme-regulations_f02c,Malta,2005.0,Mitigation,1,0,0,,hospital;ill,communicable_disease;general_health
malta-european-union-greenhouse-gas-emissions-trading-scheme-for-aviation-regulations_91f7,Malta,2019.0,Mitigation,1,0,0,,hospital;ill,communicable_disease;general_health
geological-storage-of-carbon-dioxide-regulations_2595,Malta,2011.0,Mitigation,1,0,0,,hospital;ill,communicable_disease;general_health
biofuels-bioliquids-and-biomass-fuels-sustainability-criteria-regulations_3c95,Malta,2021.0,Mitigation,1,0,0,,hospital;ill,communicable_disease;general_health
